images\000000000.tif  labels\000000000.txt 
images\000000214.tif  labels\000000214.txt 
images\000000215.tif  labels\000000215.txt 
images\000000216.tif  labels\000000216.txt 
images\000000217.tif  labels\000000217.txt 
images\000000218.tif  labels\000000218.txt 
images\000000219.tif  labels\000000219.txt 
images\000000220.tif  labels\000000220.txt 
images\000000221.tif  labels\000000221.txt 
images\000000222.tif  labels\000000222.txt 
images\000000223.tif  labels\000000223.txt 
images\000000224.tif  labels\000000224.txt 
images\000000225.tif  labels\000000225.txt 
images\000000226.tif  labels\000000226.txt 
images\000000227.tif  labels\000000227.txt 
images\000000228.tif  labels\000000228.txt 
images\000000229.tif  labels\000000229.txt 
images\000000230.tif  labels\000000230.txt 
images\000000231.tif  labels\000000231.txt 
images\000000232.tif  labels\000000232.txt 
images\000000233.tif  labels\000000233.txt 
images\000000234.tif  labels\000000234.txt 
images\000000235.tif  labels\000000235.txt 
images\000000236.tif  labels\000000236.txt 
images\000000237.tif  labels\000000237.txt 
images\000000238.tif  labels\000000238.txt 
images\000000239.tif  labels\000000239.txt 
images\000000240.tif  labels\000000240.txt 
images\000000241.tif  labels\000000241.txt 
images\000000242.tif  labels\000000242.txt 
images\000000243.tif  labels\000000243.txt 
images\000000244.tif  labels\000000244.txt 
images\000000245.tif  labels\000000245.txt 
images\000000246.tif  labels\000000246.txt 
images\000000247.tif  labels\000000247.txt 
images\000000248.tif  labels\000000248.txt 
images\000000249.tif  labels\000000249.txt 
images\000000250.tif  labels\000000250.txt 
images\000000251.tif  labels\000000251.txt 
images\000000252.tif  labels\000000252.txt 
images\000000253.tif  labels\000000253.txt 
images\000000254.tif  labels\000000254.txt 
images\000000255.tif  labels\000000255.txt 
images\000000256.tif  labels\000000256.txt 
images\000000257.tif  labels\000000257.txt 
images\000000258.tif  labels\000000258.txt 
images\000000259.tif  labels\000000259.txt 
images\000000260.tif  labels\000000260.txt 
images\000000261.tif  labels\000000261.txt 
images\000000262.tif  labels\000000262.txt 
images\000000263.tif  labels\000000263.txt 
images\000000264.tif  labels\000000264.txt 
images\000000265.tif  labels\000000265.txt 
images\000000266.tif  labels\000000266.txt 
images\000000267.tif  labels\000000267.txt 
images\000000268.tif  labels\000000268.txt 
images\000000269.tif  labels\000000269.txt 
images\000000270.tif  labels\000000270.txt 
images\000000271.tif  labels\000000271.txt 
images\000000272.tif  labels\000000272.txt 
images\000000273.tif  labels\000000273.txt 
images\000000274.tif  labels\000000274.txt 
images\000000275.tif  labels\000000275.txt 
images\000000276.tif  labels\000000276.txt 
images\000000277.tif  labels\000000277.txt 
images\000000278.tif  labels\000000278.txt 
images\000000279.tif  labels\000000279.txt 
images\000000280.tif  labels\000000280.txt 
images\000000281.tif  labels\000000281.txt 
images\000000282.tif  labels\000000282.txt 
images\000000283.tif  labels\000000283.txt 
images\000000284.tif  labels\000000284.txt 
images\000000285.tif  labels\000000285.txt 
images\000000286.tif  labels\000000286.txt 
images\000000287.tif  labels\000000287.txt 
images\000000288.tif  labels\000000288.txt 
images\000000289.tif  labels\000000289.txt 
images\000000290.tif  labels\000000290.txt 
images\000000291.tif  labels\000000291.txt 
images\000000292.tif  labels\000000292.txt 
images\000000293.tif  labels\000000293.txt 
images\000000294.tif  labels\000000294.txt 
images\000000295.tif  labels\000000295.txt 
images\000000296.tif  labels\000000296.txt 
images\000000297.tif  labels\000000297.txt 
images\000000298.tif  labels\000000298.txt 
images\000000299.tif  labels\000000299.txt 
images\000000300.tif  labels\000000300.txt 
images\000000301.tif  labels\000000301.txt 
images\000000302.tif  labels\000000302.txt 
images\000000303.tif  labels\000000303.txt 
images\000000304.tif  labels\000000304.txt 
images\000000305.tif  labels\000000305.txt 
